2023-04-07 15:32:32,403 [AppLog] INFO : 软件开机密码正确，登录成功1次
==========================================================================
操作系统:{Microsoft Windows 7 旗舰版 }
运行环境:{ .Net Framework Enviroment Version 4.0.30319.42000}
盘符：D
CPU使用率：{0%} ，可用内存大小:{14298MB}，硬盘剩余空间：
  盘符 C:\ 的剩余空间：70 GB
  盘符 D:\ 的剩余空间：88 GB
  盘符 F:\ 的剩余空间：3 GB
硬件配置情况：
  CPU 厂家: GenuineIntel CPU 型号: Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  硬盘厂家: (标准磁盘驱动器) 硬盘型号: Micron_1300_MTFDDAK256TDL ATA Device
  硬盘厂家: (标准磁盘驱动器) 硬盘型号: Generic Flash Disk USB Device
==========================================================================
2023-04-07 15:32:32,419 [AppLog] INFO : 开启系统：板卡通讯，伺服供电，照明系统，UV/HR固化系统！
2023-04-07 15:32:32,421 [AppLog] INFO : 开启系统：一键启动系统开始！
2023-04-07 15:32:38,428 [AppLog] INFO : 开启系统：一键启动系统结束！
2023-04-07 15:32:38,433 [AppLog] INFO : 初始化喷墨控制器启动！
2023-04-07 15:32:57,611 [AppLog] INFO : 打开喷墨控制器设备成功！
2023-04-07 15:33:44,697 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:33:44,868 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:33:46,601 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:33:47,611 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:04,669 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:04,856 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:05,137 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:05,870 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:06,120 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:06,666 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:07,368 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:07,555 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:07,867 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:08,288 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:08,725 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:09,021 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:09,489 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:10,441 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:10,613 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:11,954 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:12,266 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:12,625 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:13,374 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:13,748 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:14,388 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:14,684 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:14,871 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:16,416 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:35:16,572 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{10MM/s}
2023-04-07 15:35:18,179 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
